,normal_mean,normal_std,problematic_mean,z_score
std_acceleration,0.00044104617753319827,1.7557206280210674e-05,0.0004911230336395373,2.8522109558388222
residual_range,0.09017548333820481,0.008144934410228365,0.07397221267745024,1.989367850575517
mean_capacity,1.087869241226149,0.007263141579056423,1.0749352848213172,1.7807661139537017
residual_std,0.023654762064298226,0.003099116566916242,0.018930286218969142,1.5244589041160674
std_degradation_rate,0.00028118207974615076,1.4848477273762676e-05,0.00029949072564879596,1.233031883679861
initial_capacity,1.1974750361904765,0.015389141545144288,1.1870240177777778,0.6791164004853981
capacity_loss,0.3157218907936508,0.017635255346615124,0.3068722622222222,0.5018145979455412
capacity_loss_rate,0.2635294957271493,0.011408657630273166,0.25849093424842795,0.44164367465558657
total_cycles,1987.2142857142858,347.74994963698765,1840.5,0.42189592224941863
final_capacity,0.8817531453968254,0.005083876315213605,0.8801517555555556,0.31499386333959234
quadratic_coef,-8.556398848768898e-08,3.6523702339574696e-08,-7.514635250963512e-08,0.2852294622597993
std_capacity,0.08700850746118045,0.006449606420692813,0.08517960521728515,0.28356803882287757
linear_slope,-0.00014965732723248713,2.578190559050801e-05,-0.00015615771451326122,0.2521298225204622
mean_degradation_rate,-0.00016282387532774332,2.5352425476355222e-05,-0.00016733110960562606,0.17778315854182805
cv_capacity,0.07995971007639693,0.0055988948453186424,0.0792435857337687,0.12790458874700905
mean_acceleration,-5.569120009946161e-07,5.581012531659175e-07,-4.998436079761088e-07,0.10225455093458012
