y_h,V_h,k_l,k_r,Q_G,t_G,y_l_ratio,IC_mean,IC_std,IC_range,IC_skew,IC_kurt,V_mean,V_drop,I_mean,I_std,T_mean,T_max,t_total,capacity,SOH
5.80584786493794,3.49,39.5969226411919,-31.0087827551654,0.506925284753936,908.718,0.658991041770821,1.38333613019125,1.69463613908835,5.68973326717134,1.16807760471785,3.05065529122731,3.57043147643923,1.37941744276207,2.01277234403279,0.00150983143059193,31.7273926345815,38.4314751330673,3307,1.85180255167045,1
5.67419968922922,3.495,35.4760975564427,-30.7044439161756,0.477587952949262,899.375,0.687391178497089,1.36962272296305,1.67355795935608,5.55878638904582,1.14604724371463,2.9658881335673,3.57297674049136,1.37901015312156,2.0125440846361,0.00174269356573173,31.9188815434636,38.4115136111014,3269.625,1.83070384567394,0.98860639544023
5.58940197969062,3.495,33.2529336338978,-29.6375044172487,0.472614899407196,889.625,0.702535854866728,1.38596011464054,1.66333563270268,5.46948861505233,1.10728989932372,2.86518719922971,3.57222879000853,1.35499521180645,2.01240451886615,0.00165023860953695,31.6871666455013,38.2365607491932,3250.516,1.81990410895013,0.982774382348946
5.51199600789829,3.49,35.2058684549486,-26.4410180871072,0.48752073917864,880.828,0.680643197087761,1.41241757446181,1.65535203212988,5.3871950431832,1.05856108017871,2.74774602012959,3.57021158199977,1.33330461457142,2.01225348659588,0.00143942615221933,31.2883520411888,37.8619346401768,3231.844,1.80930796370285,0.977052311581889
5.44020868321511,3.49,33.3208948950234,-26.2795175062487,0.481866105645097,861.89,0.693753522747854,1.34079940383066,1.62229807834289,5.32710603633948,1.11179024164074,2.85527125137165,3.56781253741081,1.39282386295745,2.01225689707323,0.00141574987559701,31.2383121065763,37.8523452294755,3223.39,1.80460990458052,0.974515292115049
5.45314842086816,3.49,34.5680755114487,-25.9647621539796,0.481835231157499,861.828,0.683044795010868,1.38053833746143,1.63284879410213,5.33197296603931,1.07484790122036,2.77798379077752,3.57022455416104,1.35079484993287,2.01253677699875,0.00155156862691831,31.7196640487831,38.2195280246262,3213.609,1.79937706519722,0.971689483619116
5.36027503309915,3.495,27.9535196556074,-27.5445073109171,0.458308409809363,852.578,0.73925293494273,1.42036816771733,1.62708483008763,5.22987025464587,1.01407819288486,2.64000968682284,3.56925559708287,1.31034802325248,2.01227969312955,0.00139325583473489,31.4548794408339,37.9770747363047,3194.5,1.78844323353705,0.965785057334407
5.29455536970384,3.49,30.9411846103472,-24.4055438669117,0.473829927169151,852.297,0.707801860120335,1.37610852146336,1.60652930556367,5.17176040149961,1.04555285699285,2.69888510680056,3.566807418104,1.34642743400275,2.01218623983037,0.00136527243598748,31.3010379913228,38.0104080976195,3184.765,1.78292304842527,0.962804078014126
5.25114055338372,3.49,29.3120536284911,-24.4808033831251,0.46942643399256,843.359,0.720898218867871,1.41622078358373,1.60147685593573,5.11910587171492,0.984928457164193,2.56520411951632,3.56583300033785,1.30734493390715,2.01228446348299,0.00144364842482808,31.1284196315408,37.7815332625996,3166.922,1.77303371580183,0.957463696225299
5.21812504889439,3.49,28.8249203961057,-23.9786766574159,0.468069209128276,843.031,0.72380002274751,1.32482723776698,1.57786858775026,5.10399887236472,1.07999782761285,2.76464498673896,3.56334478319566,1.39410582641189,2.01273553515039,0.00163459982636736,31.3723287200818,38.1471676715524,3166.157,1.77303775507894,0.957465877493008
